id,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,latitude,longitude,price,minimum_nights,maximum_nights,accommodates,bedrooms,beds,number_of_reviews,number_of_reviews_ltm,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,host_is_superhost,host_response_rate,host_listings_count,availability_365,price_normalized,weighted_score
1.014618711731175e+18,l'Antiga Esquerra de l'Eixample,Eixample,Private room in rental unit,Private room,41.3877538,2.1552886,55.0,1.0,365.0,1.0,1.0,1.0,1.0,1.0,0.26,5.0,4.0,5.0,5.0,4.0,f,0%,1.0,265.0,0.8642068445236952,1.4932103422261849
1.0259965209921364e+18,la Nova Esquerra de l'Eixample,Eixample,Private room in rental unit,Private room,41.377030898873286,2.151791224425559,50.0,2.0,365.0,1.0,1.0,0.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,f,83%,1.0,247.0,0.8792949729099513,1.4939647486454977
1.0116094413499086e+18,Horta,Horta-Guinardó,Private room in rental unit,Private room,41.43217146397975,2.155102975666523,49.0,1.0,1125.0,1.0,1.0,1.0,2.0,2.0,2.0,4.5,5.0,5.0,4.28,4.0,f,90%,1.0,257.0,0.8823125985872026,1.4941156299293603
40554669.0,el Clot,Sant Martí,Shared room in hostel,Shared room,41.40647,2.18534,30.0,1.0,1125.0,1.0,1.0,1.0,115.0,40.0,4.495681818181817,4.23,4.12,4.45,4.55,4.26,f,100%,1.0,326.0,0.9396474864549756,1.495482374322749
1.0137570896609376e+18,la Dreta de l'Eixample,Eixample,Private room in rental unit,Private room,41.4011277748361,2.171232786363153,70.0,1.0,365.0,2.0,1.0,0.0,0.0,0.0,2.6545454545454543,4.402727272727272,4.496363636363636,4.593636363636364,4.55,4.277272727272727,f,75%,1.0,252.0,0.8189424593649269,1.4983562138773374
8.354344531024877e+17,el Coll,Gràcia,Private room in rental unit,Private room,41.41513675801495,2.1467541586980965,40.0,1.0,365.0,1.0,1.0,1.0,0.0,0.0,0.9672727272727272,4.553636363636364,4.489999999999999,4.693636363636364,4.460909090909091,4.200909090909091,f,10%,1.0,357.0,0.9094712296824635,1.5002462887568506
1.00703062970938e+18,el Raval,Ciutat Vella,Private room in rental unit,Private room,41.37700012004341,2.168542563226729,50.0,1.0,365.0,1.0,1.0,1.0,0.0,0.0,1.6772727272727277,4.306363636363636,4.517272727272727,4.333636363636363,4.826363636363637,4.413636363636363,f,90%,1.0,269.0,0.8792949729099513,1.5020102031909521
30558585.0,la Vila de Gràcia,Gràcia,Private room in rental unit,Private room,41.4042977400806,2.153727151853297,66.0,2.0,15.0,2.0,0.0,0.0,115.0,40.0,2.57,4.34,4.64,4.57,4.73,4.33,f,100%,1.0,64.0,0.8310129620739318,1.5030506481036967
1.047607060289656e+18,la Vila de Gràcia,Gràcia,Private room in rental unit,Private room,41.39842,2.15856,50.0,1.0,365.0,1.0,1.0,1.0,0.0,0.0,2.1563636363636363,4.476363636363636,4.758181818181819,4.845454545454545,4.568181818181818,4.175454545454546,f,0%,1.0,71.0,0.8792949729099513,1.5037829304636794
23932565.0,el Fort Pienc,Eixample,Private room in rental unit,Private room,41.40005,2.17482,215.0909090909091,2.0,1125.0,1.0,0.0,0.0,14.0,0.0,0.19,4.64,4.71,4.71,4.71,4.5,f,67%,2.0,0.0,0.3811124065564776,1.5045556203278239
34697698.0,la Sagrada Família,Eixample,Private room in rental unit,Private room,41.40868,2.17836,30.0,1.0,1125.0,1.0,1.0,1.0,18.0,7.0,0.35,4.33,4.67,4.44,4.61,4.44,f,71%,1.0,90.0,0.9396474864549756,1.512982374322749
